,content,sentiment,content_preprocessed
141,Terima kasih. Orang pada kasih rating jelek karena tidak sabar mengikuti prosedur yang ada. Jadi yang mau perpanjang sim via online silahkan dicoba saja. Untuk satpas yang tersedia baru Metro Jaya sama Jatim (Jombang). Jadi jangan heran kalau cari satpas sendiri tidak ketemu.,Positif,terima kasih orang kasih rating jelek sabar ikut prosedur panjang sim via online sila coba satpas sedia metro jaya jatim jombang heran cari satpas ketemu
142,Lebih mudah dan praktis,Positif,mudah praktis
143,"Terima kasih, aplikasinya sangat membantu. Tingkatkan terus pelayanan, prosesnya klo bisa lebih di percepat.",Positif,terima kasih aplikasi bantu tingkat layan proses kalo cepat
144,Bagai mana kami yang mau perpanjang SIM B2 umum pak/ibu,Positif,panjang sim b pak ibu
145,Mantap 👍,Positif,mantap
146,Tolong dong untuk pemilihan lokasi satpas-nya loading terus. Padahal saya sudah selesai kelengkapan persyaratannya. Apa pengaruh lokasi yang saya pilih Kalimantan timur-bontang. Tolong bantuannya.. Terimakasih banyak atas penjelasannya lewat email 🙏 saya tinggal menunggu paket sim tiba. Semoga semakin baik lagi.. dipermudah sampai ke pelosok. Tiap pulau dibuat lokasi satpas-nya agar ringan biaya pengirimannya.,Positif,tolong pilih lokasi satpas-nya loading selesai lengkap syarat pengaruh lokasi pilih kalimantan timur-bontang tolong bantu terimakasih jelas email tinggal tunggu paket sim moga mudah pelosok pulau lokasi satpas-nya ringan biaya kirim
147,Sangat bermanfaat terima kasih polri,Positif,manfaat terima kasih polri
148,"Admin, kapan nih rilis fitur pembuatan SIM nya?",Positif,admin nih rilis fitur buat sim
149,Saya ingin dipermudah oleh digital,Positif,mudah digital
150,Awalnya susah login. Tapi akhirnya SIM saya jadi juga. Gak harus antri ke polres. TERIMAKASIH DIGITAL KORLANTAS,Positif,susah login sim antri polres terimakasih digital korlantas
151,"oke, tinggal nunggu waktu proses msh 40%",Positif,oke tinggal tunggu proses
152,Keren,Positif,keren
153,"Bagus..., sangat mempermudah dengan tidak meninggalkan aturan yg ada",Positif,bagus mudah tinggal atur
154,"Terimakasih atas kecepatan dan kemudahan proses pengurusan sim online, dari mulai tes kesehatan dan psikologi online. Memang di polda jatim hanya ada pilihan satpas jombang tapi bisa dikirim lewat pos jadi lebih mudah",Positif,terimakasih cepat mudah proses urus sim online tes sehat psikologi online polda jatim pilih satpas jombang kirim pos mudah
155,"Aplikasi yg sangat membantu dlm pengurusan perpanjangan SIM.. Pengiriman cepat, tanpa harus antri panjang.. Semoga ke depan fiturnya semakin lengkap.. Kmrn utk pilihan Polda sprtinya baru Metro Jaya & Jatim saja yg muncul.. Dan utk Satpas Polda Jatim hanya Mojokerto yg muncul. Krn posisi sy di Surabaya, sy coba pilih sj trnyata bisa.. Terhitung dari selesai psikotes, tes kesehatan, pembayaran pada tgl 30/04/21, lalu tgl 03/05/21 SIM baru sudah sy terima.. Thanks Korlantas Polri & PT Pos Indonsia",Positif,aplikasi bantu urus panjang sim kirim cepat antri moga fiturnya lengkap kemarin pilih polda sprtinya metro jaya jatim muncul satpas polda jatim mojokerto muncul posisi surabaya coba pilih hitung selesai psikotes tes sehat bayar tanggal tanggal sim terima thanks korlantas polri pt pos indonsia
156,"Aplikasinya sangat membantu, tips yg mau perpanjang harus punya online banking dan aplikasi edit foto background biru, jika tidak ya harus mau wira wiri buat transfer administrasi dan edit foto ke studio foto, sedikit ribet tp ga harus jauh² ke polres yg jauh dari rumah so bisa menghemat waktu dan biaya transportasi jg, terimakasih",Positif,aplikasi bantu tips panjang online banking aplikasi edit foto background biru wira wiri transfer administrasi edit foto studio foto ribet jauh polres rumah sok hemat biaya transportasi terimakasih
157,"Aplikasi sangat membantu untuk perpanjang SIM, proses cepat. terimakasih Digital Korlantas POLRI.",Positif,aplikasi bantu panjang sim proses cepat terimakasih digital korlantas polri
158,"Berkali kali saya ambil foto untuk verifikasi KTP tapi tidak bisa, mohon solusinya Pak Polisi Terimakasih",Positif,kali ambil foto verifikasi ktp mohon solusi polisi terimakasih
159,Knapa ya ketika mau masuk aplikasi tes kesehatan kok slalu gagal dan muncul sistem tidak mendeteksi kamera . Mungkin ada yg bisa bantu saya..,Positif,knapa masuk aplikasi tes sehat gagal muncul sistem deteksi kamera bantu
160,"Aplikasi yg sangat membantu, izin bertanya, ketika saya mau verifikasi KTP dengan foto wajah kenapa tidak ada tombol untuk melanjutkan proses hasil foto ya? Padahal saya sudah foto.",Positif,aplikasi bantu izin verifikasi ktp foto wajah tombol lanjut proses hasil foto foto
161,"Applikasi sangat membantu, proses juga cepat dari daftar sampai sim nya dikirim kerumah, karena saya tinggal sragen dan satpas sragen blm melayani jadi saya perpanjang sim lewat satpas jombang-jatim cukup 3hari.",Positif,aplikasi bantu proses cepat daftar sim kirim rumah tinggal sragen satpas sragen layan panjang sim satpas jombang-jatim
162,Bagus,Positif,bagus
163,"Aplikasi recommended Tidak perlu antri, cukup di rumah saja 😊 Terimakasih banyak Korlantas Polri 🙏",Positif,aplikasi recommended antri rumah terimakasih korlantas polri
164,Setelah proses selesai.apakah nanti juga ada ujian lagi pak.atau tinggal ambil kartu SIM nya. Maaf baru pemula apk ini,Positif,proses selesai uji tinggal ambil kartu sim maaf mula apk
165,"Halo selamat siang , saya mau bertanya. Knapa verifikasi e ktp ga bisa berhasil terus ya. Sudah di coba 4 hari. Kendalanya apa ya kira kira. Terima kasih",Positif,halo selamat siang knapa verifikasi e ktp hasil coba kendala terima kasih
166,Verifikasi KTP gagal terus di bagian foto.,Positif,verifikasi ktp gagal foto
167,"Aplikasi sudah online, setelah update digitalisai data SIM lama sudah bisa. Aplikasi E-rikkes jg sdh aktif. Semoga perbaikan berkesinambungan agar aplikasi bisa dan mudah digunakan. Terima kasih POLRI",Positif,aplikasi online update digitalisai data sim aplikasi e-rikkes aktif moga baik sambung aplikasi mudah terima kasih polri
168,"Mantap sangat membantu,semoga lancar jaya",Positif,mantap bantu moga lancar jaya
169,Sekarang jadi bintang 4... Tapi saya lupa mau transfer kemana?? Masuk lagi di aplikasi tidak ketemu no rekening nya,Positif,bintang lupa transfer mana masuk aplikasi ketemu no rekening
170,Mantap SIM sy sudah jadi. Dan tidak perlu repot2 utk antri ke satlantas. SIM langsung diantar sampai rumah. Respon tim Digital Korlantas Polri cepat dan baik sekali. Yg mengalami kendala mungkin bisa email ke tim langsung.,Positif,mantap sim repot antri satlantas sim langsung antar rumah respon tim digital korlantas polri cepat alami kendala email tim langsung
171,"Halo, Saya sudah melakukan pembayaran di tgl 27 apr, namun hingga kini status proses nya belum berubah, berapa lama waktu yang diperlukan untk menunggu hingga SIM selesai. Notes: TOLONG ditambahkan layanan pengaduan, karena sampai sekarang masih blm tersedia, terimakasih.",Positif,halo bayar tanggal apr status proses ubah tunggu sim selesai notes tolong layan adu sedia terimakasih
172,Proses lumayan cepat 1 hari jadi dan pengiriman juga cepat 3 hari sampai karena dikirim hari jumat dan sampai rumah hari senin.,Positif,proses lumayan cepat kirim cepat kirim jumat rumah senin
173,"Sementara bintang 4 dulu, kalau fiturnya udah komplit dan kompleks, saya siap memberikan bintang 5",Positif,bintang fiturnya komplit kompleks bintang
174,Keren,Positif,keren
175,slamat pagi saya mau bertanya kenapa pas udah di lokasi satpas bufering ya pa/bu tolong pencerahanya,Positif,selamat pagi pas lokasi satpas bufering pa bu tolong pencerahanya
176,"Terima kasih Korlantas POLRI atas aplikasi yang sangat membantu ini. Saya telah memanfaatkannya untuk perpanjangan SIM C biarapun saya saat ini tinggal di Medan namun pelayanan yang diberikan tidak ada masalah signifikan, WA Korlantas POLRI cukup membantu saya dalam bertanya jika ada masalah. Suatu keniscayaan untuk membuat aplikasi yang sempurna dalam sekali launching, oleh sebab itu teruslah mengembangkan aplikasi ini. POLRI Presisi. Terima kasih Korlantas POLRI",Positif,terima kasih korlantas polri aplikasi bantu manfaat panjang sim sih biara tinggal medan layan signifikan wa korlantas polri bantu niscaya aplikasi sempurna launching terus kembang aplikasi polri presisi terima kasih korlantas polri
177,Blum pernah coba semoga bisa membantu saya buat sim C,Positif,coba moga bantu sim sih
178,"Mohon maaf sebelumnya ... Kenapa pas waktu saya mau memilih pendaftaran sim baru kenapa ga bisa ya ..? Dan jawabanya sedang dalam pengembangan ... Kira"" butuh waktu berapa lama ya sampai selesai pengembangannya ?. Terima kasih",Positif,mohon maaf pas pilih daftar sim jawabanya kembang butuh selesai kembang terima kasih
179,Sangat membantu,Positif,bantu
180,OK,Positif,ok
181,kapan apk ini bisa di gunakan untuk pembuatan sim baru,Positif,apk buat sim
182,Sangat bagus dan mempermudah pelayanan,Positif,bagus mudah layan
183,Belum bisa bikin SIM online ya bang? Saya mau bikin,Positif,bikin sim online bang bikin
184,Oke ya,Positif,oke
185,Lebih Efisien *MANTUULL*,Positif,efisien mantuull
186,"Saya sudah mencoba berulang kali, tetapi selalu gagal dalam mengisi data. Mohon dibantu solusinya. Karena bisa sangat membantu saat pengurusan. Bulan ini mau perpanjangan. Terima kasih",Positif,coba ulang gagal isi data mohon bantu solusi bantu urus panjang terima kasih
187,Ok,Positif,ok
188,"In Syaa Allah, Bahwa perpanjangan dengan sestem online akan sangat mempermudah juga efisien waktu",Positif,syaa allah panjang sestem online mudah efisien
189,Alhamdulillah proses sampai dengan bayar selsai.. tinggal menunggu SIM saya di proses dan dikirim.. Bagi kawan2 yg sulit verifikasi foto e-KTP.. saya punya pengalaman untuk verifikasi email terlebih dahulu.. setelah itu coba menggunakan HP yg terbaru.. mungkin HP saya yg lama kamera depan kurang responsif mengambil gambar.. namun ketika pakai HP istri untuk perpanjangan SIM an.saya Alhamdulillah lancar.. Dtgu kedatangan SIM nya ke rumah saya Terima kasih,Positif,alhamdulillah proses bayar selsai tinggal tunggu sim proses kirim kawan sulit verifikasi foto e-ktp alam verifikasi email coba hp baru hp kamera responsif ambil gambar pakai hp istri panjang sim an alhamdulillah lancar dtgu datang sim rumah terima kasih
190,Sangat membantu mengurangi calo,Positif,bantu kurang calo
191,Biar seneng,Positif,biar senang
192,"Mohon pencerahanya kenapa POLDA JATIM hanya ada pilihan SATPAS JOMBANG?, Apa tidak apa2? Karena lokasi saya sekarang sidoarjo. Saya sudah selesaiken tahapanya semua dan bayar administrasinya, apa saya tinggal tunggu sim di kirim saja?. Mohon pencerahanya karena masa berlaku sim saya akan segera berakhir. Terima kasih Polri🙏",Positif,mohon pencerahanya polda jatim pilih satpas jombang lokasi sidoarjo selesaiken tahapanya bayar administrasi tinggal tunggu sim kirim mohon pencerahanya laku sim terima kasih polri
193,"Luar biasa,kendala hanya di verifikasi KTP (penyebab kamera harus kualitas bagus & klau gagal verifikasi fhoto ke e-KTP biasanya beda model rambut),kendala wilayah Polda untuk satpas hanya tersedia Metro Jaya dan Jatim,kalau bisa sudah seluruh indonesia",Positif,kendala verifikasi ktp sebab kamera kualitas bagus gagal verifikasi foto e-ktp beda model rambut kendala wilayah polda satpas sedia metro jaya jatim indonesia
194,Alhamdulillah sudah diproses...semoga bs ditambah lagi fitur2nya sehingga semua mudah dilakukan dari rumah.,Positif,alhamdulillah proses moga tambah fitur mudah rumah
195,Bagus,Positif,bagus
196,Mantap ini aplikasinya. Dalam seminggu SIM udh dikirim. Tolong dikembangkan biar notifikasi nya update,Positif,mantap aplikasi minggu sim kirim tolong kembang biar notifikasi update
197,Mantab,Positif,mantab
198,"Umtuk App digital korlantas polri sudah bagus, dan Saya sudah menyelesaikan semua persyaratan dari tanggal 30 April, sudah membayar permohonan SIM. Tp untuk sttus di App masih 40% saja. Apakah transaksi saya sedang diproses apa bgaimana? Sedangkan masa berlaku SIM saya tanggal 9 mei. Mohon infonya🙏🙏🙏",Positif,umtuk app digital korlantas polri bagus selesai syarat tanggal april bayar mohon sim status app transaksi proses bgaimana laku sim tanggal mei mohon info
199,Sangak membantu sy,Positif,sangak bantu
200,Mudah banget perpanjangan sim nya. Yang gak bisa bisa hub saya.,Positif,mudah banget panjang sim hubung
201,"Apa bisa perpanjang SIM secara online yg masa berlakunya berakhir 27 maret? Adakah dispensasi Atau apa solusi lainnya, apakah harus benar benar buat SIM baru? Untuk aplikasi nya masih harus ditingkatkan, saya sudah coba verifikasi data tp selalu kembali ke semula di tengah tengah proses. Terimakasih mohon dijawab",Positif,panjang sim online laku maret ada dispensasi solusi sim aplikasi tingkat coba verifikasi data proses terimakasih mohon
202,good,Positif,good
203,Semoga bisa membantu masyarakat dalam pembuatan SIM,Positif,moga bantu masyarakat buat sim
204,ok,Positif,ok
205,Saya memperpanjang sim dr tgl 26/4/2021 sampe skrg ko mash proses trs ya.. pdhal adm ny udh..,Positif,panjang sim tanggal mash proses adm
206,"Sangat tertolong dg adanya aplikasi ini,sbgai sopir krna sering bpergian,jrng ada waktu bhkan untuk mengurus SIM yg biasanya mmakan waktu seharian,biaya lebih murah dan lbih hemat waktu,ndak perlu antri,kita juga tidak terjebak dg calo2 yg berkeliaran,mmng ada bbrpa bug,aplkasi rekanan untuk tes kshatan dn psiko jg ada bug,tp sy yakin kedepannya aplikasi ini akan terus di tingkatkan,satpas penerbit SIM juga mohon di tambah,agar menghemat biaya kirim,NB:saya berhasil mmperpnjang SIM,trma kash",Positif,tolong aplikasi sopir bpergian jrng bhkan urus sim mmakan hari biaya murah hemat indak antri jebak calo liar mmng bug aplkasi rekan tes kshatan psiko bug depan aplikasi tingkat satpas terbit sim mohon hemat biaya kirim nb hasil mmperpnjang sim trma kash
207,Saya rasa ini sangat membantu sekali apalagi dimana pandemi sekarang ini.,Positif,bantu mana pandemi
208,Bagus,Positif,bagus
209,Susah utk ferifikasi e ktp nyaa,Positif,susah ferifikasi e ktp
210,"Min, saya sudah melakukan semua persyaratan untuk perpanjangan SIM online dan sudah melakukan pembayaran, tapi kenapa status transaksi nya masih 40% terus yaa, Kira-kira butuh waktu berapa lama untuk jadi SIM nya dan pengiriman?  Karena dikejar waktu juga sama masa berlaku SIM nya Mohon penjelasan nya min🙏 Terima kasih",Positif,min syarat panjang sim online bayar status transaksi butuh sim kirim kejar laku sim mohon jelas min terima kasih
211,"Setelah proses isi data selesai (tinggal bayar) dan kemudian keluar, apakah masih bisa dilanjutkan transaksinya atau mulai dari awal lagi? Kalau bisa dilanjutkan tombolnya dimana? Terimakasih",Positif,proses isi data selesai tinggal bayar lanjut transaksi lanjut tombol mana terimakasih
212,Alhamdulillah ada aplikasi ini jd gak perlu repot2 dteg ke polres lagi bs dikirim lagi via pos..,Positif,alhamdulillah aplikasi repot dteg polres kirim via pos
213,Mohom maaf admin ini pemngembangan pembikinan sim C dan sim A kapan yah🙏,Positif,mohon maaf admin pemngembangan bikin sim sih sim a
214,Ok,Positif,ok
215,"Saya sangat mengharapkan aplikasi ini dapat membantu kita untuk memperpanjang SIM secara online. Tetapi pada akhirnya SIM saya habis masa berlakunya, perpanjangan SIM lewat aplikasi tak kunjung berhasil. Apakah saya harus mengurus baru? Padahal saya sudah tes kesehatan dan psikologi online, dan Alhamdulillah selesai. Tetapi proses perpanjangan SIM yg tak bisa diakses. Sampai pada pengisian nama POLDA, aplikasi tak berfungsi dengan baik.",Positif,harap aplikasi bantu panjang sim online sim habis laku panjang sim aplikasi kunjung hasil urus tes sehat psikologi online alhamdulillah selesai proses panjang sim akses isi nama polda aplikasi fungsi
216,Mohon maaf saya beberapa kali verifikasi ktp kok susah ya pak. Untuk sim sdh terdata semua. Padahal mau perpanjangan habis masa berlakukan tanggal 7 mei 2021. Mohon arahannya. Terima kasih,Positif,mohon maaf verifikasi ktp susah sim data panjang habis laku tanggal mei mohon arah terima kasih
217,Saya mengajukan perpanjang sim c.sudah bayar.sudah lolos semua test.tapi sampai skrg belom di proses2,Positif,aju panjang sim sih bayar lolos test proses
218,ok,Positif,ok
219,Sudah di coba tapi belum aktif,Positif,coba aktif
220,mantap,Positif,mantap
221,"Lumayan lah, cukup membantu dlm membuat SIM dari rumah 👍✔️",Positif,lumayan bantu sim rumah 
222,Saya masih coba...nanti lihat hasilnya...,Positif,coba lihat hasil
223,Mantap,Positif,mantap
224,Mantap,Positif,mantap
225,membantu sekali,Positif,bantu
226,good,Positif,good
227,Good,Positif,good
228,"Kalau dah perpanjang SIMnya di mana cetaknya,saya kan di Rantau apakah saya bisa cetak di polsek terdekat?",Positif,deh panjang simnya cetak rantau cetak polsek dekat
